Name;Age;Class;
ABBING, Mr Anthony ;42 ;3rd Class Passenger ;
A. Abbing
ABBOTT, Mr Ernest Owen ;21 ;Victualling Crew ;
ABBOTT, Mr Eugene Joseph ;13 ;3rd Class Passenger ;
ABBOTT, Mr Rossmore Edward ;16 ;3rd Class Passenger ;
R. Abbott
ABELSON, Mr Samuel ;30 ;2nd Class Passenger ;
ABī SA'B, Mr Jirjis Yūsuf ;45 ;3rd Class Passenger ;
ABRAMS, Mr William Thomas ;34 ;Engineering Crew ;
ÅDAHL, Mr Mauritz ;30 ;3rd Class Passenger ;
ADAMS, Mr John ;27 ;3rd Class Passenger ;
ADAMS, Mr Robert John ;26 ;Engineering Crew ;
AHIER, Mr Percy Snowden ;20 ;Victualling Crew ;
AHLIN, Mrs Johanna Persdotter ;40 ;3rd Class Passenger ;
ÅKERLIND, Mr Erik Gustaf ;42 ;1st Class Passenger ;
AKERMAN, Mr Joseph Francis ;37 ;Victualling Crew ;
AKERMAN, Mr Albert Edward ;31 ;Victualling Crew ;
AL-MUNà, Mr Farīd Husayn Qāsim ;19 ;3rd Class Passenger ;
ALDWORTH, Mr Augustus Henry ;35 ;2nd Class Passenger
Servant ;
ALEXANDER, Mr William Albert ;25 ;3rd Class Passenger ;
W. Alexander
ALHOMäKI, Mr Ilmari Rudolf ;19 ;3rd Class Passenger ;
ALI, Mr William ;25 ;3rd Class Passenger ;
ALI, Mr Ahmed ;24 ;3rd Class Passenger ;
ALLARIA, Sig. Battista Antonio ;22 ;Restaurant Staff ;
B. Allaria
ALLEN, Mr Henry ;30 ;Engineering Crew ;
ALLEN, Mr Robert Spencer ;36 ;Victualling Crew ;
ALLEN, Mr William Henry ;39 ;3rd Class Passenger ;
W. Allen
ALLEN, Mr George ;26 ;Victualling Crew ;
ALLISON, Miss Helen Loraine ;2 ;1st Class Passenger ;
H. Allison
ALLISON, Mrs Bessie Waldo ;25 ;1st Class Passenger ;
B. Allison
ALLISON, Mr Hudson Joshua Creighton ;30 ;1st Class Passenger ;
H. Allison
ALLSOP, Mr Alfred Samuel ;36 ;Engineering Crew ;
A. Allsop
ALLSOP, Mr Frank Richard ;41 ;Victualling Crew ;
ALLUM, Mr Owen George ;18 ;3rd Class Passenger ;
ANDERSEN, Mr Albert Kaurin ;33 ;3rd Class Passenger ;
ANDERSON, Mr Walter Yuill ;48 ;Victualling Crew ;
ANDERSSON, Miss Ingeborg Constanzia ;9 ;3rd Class Passenger ;
ANDERSSON, Miss Sigrid Elisabeth ;11 ;3rd Class Passenger ;
ANDERSSON, Mrs Alfrida Konstantia Brogren ;39 ;3rd Class Passenger ;
ANDERSSON, Mr Anders Johan ;39 ;3rd Class Passenger ;
ANDERSSON, Miss Ellis Anna Maria ;2 ;3rd Class Passenger ;
ANDERSSON, Miss Ida Augusta Margareta ;38 ;3rd Class Passenger ;
I. Andersson
ANDERSSON, Master Sigvard Harald Elias ;4 ;3rd Class Passenger ;
ANDERSSON, Mr Johan Samuel ;26 ;3rd Class Passenger ;
J. Andersson
ANDERSSON, Miss Ebba Iris Alfrida ;6 ;3rd Class Passenger ;
ANDREASSON, Mr Pål Edvin ;20 ;3rd Class Passenger ;
ANDREW, Mr Frank Thomas ;27 ;2nd Class Passenger ;
F. Andrew
ANDREW, Mr Edgar Samuel ;17 ;2nd Class Passenger ;
E. Andrew
ANDREWS, Mr Thomas ;39 ;1st Class Passenger
H&W Guarantee Group ;
T. Andrews
ANGHELOFF, Mr Minko ;26 ;3rd Class Passenger ;
M. Angheloff
ANGLE, Mr William ;31 ;2nd Class Passenger ;
ARNOLD-FRANCHI, Mrs Josefine ;18 ;3rd Class Passenger ;
ARNOLD-FRANCHI, Mr Josef ;25 ;3rd Class Passenger ;
ARONSSON, Mr Ernst Axel Algot ;25 ;3rd Class Passenger ;
ARTAGAVEYTIA, Mr Ramon ;71 ;1st Class Passenger ;
R. Artagaveytia
ASHBY, Mr John ;57 ;2nd Class Passenger ;
ASHCROFT, Mr Austin Aloysius ;26 ;Victualling Crew ;
ASHE, Mr Henry Wellesley ;41 ;Victualling Crew ;
H. Ashe
ASIM, Mr Adola ;35 ;3rd Class Passenger ;
ASPESLAGH, Mr Georges ;26 ;Restaurant Staff ;
ASPLUND, Master Clarence Gustaf Hugo ;9 ;3rd Class Passenger ;
ASPLUND, Master Filip Oscar ;13 ;3rd Class Passenger ;
ASPLUND, Master Carl Edgar ;5 ;3rd Class Passenger ;
ASPLUND, Mr Carl Oscar Vilhelm Gustafsson ;40 ;3rd Class Passenger ;
ASSAM, Mr Ali ;23 ;3rd Class Passenger ;
ASTOR, Colonel John Jacob ;47 ;1st Class Passenger ;
J. Astor
ATā ALLāH, Miss Malakah ;18 ;3rd Class Passenger ;
ATTALA, Mr Sleiman ;27 ;3rd Class Passenger ;
AUGUSTSSON, Mr Albert ;23 ;3rd Class Passenger ;
A. Augustsson
AYLING, Mr Edwin George ;23 ;Victualling Crew ;
BACK, Mr Charles Frederick ;37 ;Victualling Crew ;
BACKSTRöM, Mr Karl Alfred ;32 ;3rd Class Passenger ;
BADT, Mr Mohamed ;40 ;3rd Class Passenger ;
BAGLEY, Mr Edward Henry ;33 ;Victualling Crew ;
E. Bagley
BAILEY, Mr George ;44 ;Victualling Crew ;
BAILEY, Mr Percy ;18 ;2nd Class Passenger ;
P. Bailey
BAILEY, Mr George Frank ;46 ;Engineering Crew ;
BAINBRIGGE, Mr Charles Robert ;22 ;2nd Class Passenger ;
BAINES, Mr Richard ;58 ;Engineering Crew ;
BALKIC, Mr Cerin ;26 ;3rd Class Passenger ;
BANEWER, Mr Solomon ;42 ;2nd Class Passenger ;
BANFI, Sig. Ugo ;24 ;Restaurant Staff ;
BANFIELD, Mr Frederick James ;28 ;2nd Class Passenger ;
F. Banfield
BANNON, Mr John Joseph ;34 ;Engineering Crew ;
BARBARA, Miss Saiide ;18 ;3rd Class Passenger ;
BARBARA, Mrs Catherine David ;45 ;3rd Class Passenger ;
BARKER, Mr Ernest Thomas ;41 ;Victualling Crew ;
BARKER, Mr Albert Vale ;19 ;Victualling Crew ;
BARKER, Mr Reginald Lomond ;42 ;Victualling Crew ;
R. Barker
BARLOW, Mr Charles Henry ;30 ;Engineering Crew ;
BARLOW, Mr George ;39 ;Victualling Crew ;
BARNES, Mr John ;40 ;Engineering Crew ;
BARNES, Mr Frederick Charles ;40 ;Victualling Crew ;
BARNES, Mr Charles ;29 ;Engineering Crew ;
BARRATT, Mr Arthur ;16 ;Victualling Crew ;
A. Barratt
BARRETT, Mr Frederick William ;33 ;Engineering Crew ;
BARRINGER, Mr Arthur William ;34 ;Victualling Crew ;
BARROW, Mr Charles Henry John Barrow ;36 ;Victualling Crew ;
BARROWS, Mr William ;32 ;Victualling Crew ;
BARRY, Miss Julia ;33 ;3rd Class Passenger ;
BARTON, Mr David John ;22 ;3rd Class Passenger ;
D. Barton
BARTON, Mr Sidney John ;26 ;Victualling Crew ;
BASILICO, Sig. Giovanni ;27 ;Restaurant Staff ;
BATEMAN, Revd Robert James ;52 ;2nd Class Passenger ;
R. Bateman
BATOSHEV, Mr Hristo Lalev ;23 ;3rd Class Passenger ;
BAUMANN, Mr John David ;48 ;1st Class Passenger ;
J. Baumann
BAXTER, Mr Quigg Edmond ;24 ;1st Class Passenger ;
Q. Baxter
BAXTER, Mr Thomas Ferguson ;55 ;Victualling Crew ;
BAXTER, Mr Harry Ross ;53 ;Victualling Crew ;
BAZZī, Mr Rashīd Al-Hāj 'Adb al-Husayn ;30 ;3rd Class Passenger ;
BAZZI, Sig. Narciso ;33 ;Restaurant Staff ;
N. Bazzi
BEATTIE, Mr Thomson ;36 ;1st Class Passenger ;
T. Beattie
BEATTIE, Mr Joseph ;35 ;Engineering Crew ;
BEAUCHAMP, Mr Henry James ;44 ;2nd Class Passenger ;
BEAVAN, Mr William Thomas ;20 ;3rd Class Passenger ;
BEDFORD, Mr William Barnett ;31 ;Victualling Crew ;
BEEDEM, Mr George Arthur ;35 ;Victualling Crew ;
BEERE, Mr William ;19 ;Victualling Crew ;
W. Beere
BELL, Mr Joseph ;51 ;Engineering Crew ;
J. Bell
BENDELL, Mr Frank ;24 ;Engineering Crew ;
BENGTSSON, Mr Jan Viktor ;26 ;3rd Class Passenger ;
J. Bengtsson
BENHAM, Mr Fred John ;30 ;Victualling Crew ;
BENNETT, Mr George Alfred ;30 ;Engineering Crew ;
G. Bennett
BENVILLE, Mr Edward ;47 ;Engineering Crew ;
BERGLUND, Mr Karl Ivar Sven ;22 ;3rd Class Passenger ;
BERNARDI, Sig. Battista ;22 ;Restaurant Staff ;
BERRIMAN, Mr William John ;23 ;2nd Class Passenger ;
BESSANT, Mr William Edward Lowe ;39 ;Engineering Crew ;
BESSANT, Mr Edward ;31 ;Victualling Crew ;
BEST, Mr Edwin Alfred ;40 ;Victualling Crew ;
BEUX, Mr David ;25 ;Restaurant Staff ;
BEVIS, Mr Joseph Henry ;22 ;Engineering Crew ;
BIDDLECOMBE, Mr Reginald Charles ;31 ;Engineering Crew ;
BIéTRIX, Mr George Baptiste ;28 ;Restaurant Staff ;
BIGGS, Mr Edward Charles ;20 ;Engineering Crew ;
BILLOWS, Mr James ;20 ;Engineering Crew ;
BIRKELAND, Mr Hans Martin Monsen ;21 ;3rd Class Passenger ;
BIRNBAUM, Mr Jakob ;24 ;1st Class Passenger ;
BISHOP, Mr Walter Alexander ;34 ;Victualling Crew ;
BJöRKLUND, Mr Ernst Herbert ;18 ;3rd Class Passenger ;
BLACK, Mr D. ;41 ;Engineering Crew
Substitute Crew ;
BLACK, Mr Alexander ;28 ;Engineering Crew ;
BLACKMAN, Mr Albert Edward ;23 ;Engineering Crew ;
BLACKWELL, Mr Stephen Weart ;45 ;1st Class Passenger ;
BLADES, Mr Charles Frederick ;18 ;Victualling Crew ;
BLAKE, Mr Thomas Henry ;37 ;Engineering Crew ;
BLAKE, Mr John Douglas Stanley George ;26 ;Engineering Crew ;
BLANEY, Mr James ;32 ;Engineering Crew ;
BLANN, Mr Eustace Horatius ;22 ;Engineering Crew ;
BLUMET, Mr Jean Baptiste ;26 ;Restaurant Staff ;
BOCHATAY, Mr Alexis Joseph ;30 ;Victualling Crew ;
BOCHET, Mr Pierre Giuseppe ;43 ;Restaurant Staff ;
BOGIE, Mr Norman Leslie ;59 ;Victualling Crew ;
BOLHUIS, Mr Hendrik ;27 ;Restaurant Staff ;
BOND, Mr William John ;45 ;Victualling Crew ;
BOOTHBY, Mr Walter Thomas ;37 ;Victualling Crew ;
BOREBANK, Mr John James ;41 ;1st Class Passenger ;
J. Borebank
BOSTANDYEFF, Mr Guentcho ;26 ;3rd Class Passenger ;
BOSTON, Mr William John ;33 ;Victualling Crew ;
BOTSFORD, Mr William Hull ;25 ;2nd Class Passenger ;
W. Botsford
BOTT, Mr William Thomas ;46 ;Engineering Crew ;
W. Bott
BOUGHTON, Mr Bernard John ;24 ;Victualling Crew ;
BOURKE, Miss Mary ;40 ;3rd Class Passenger ;
BOURKE, Mrs Catherine ;32 ;3rd Class Passenger ;
BOURKE, Mr John ;42 ;3rd Class Passenger ;
BOWEN, Mr David John 'Dai' ;20 ;3rd Class Passenger ;
D. Bowen
BOYD, Mr John ;37 ;Victualling Crew ;
BOYES, Mr John Henry ;36 ;Victualling Crew ;
BRACKEN, Mr James Hollen ;30 ;2nd Class Passenger ;
J. Bracken
BRADLEY, Mr Thomas Henry ;28 ;Deck Crew ;
BRADLEY, Mr Patrick Joseph ;38 ;Engineering Crew ;
P. Bradley
BRADSHAW, Mr John Albert Perkin ;42 ;Victualling Crew ;
BRADY, Mr John Bertram ;41 ;1st Class Passenger ;
J. Brady
BRAF, Miss Elin Ester Maria ;20 ;3rd Class Passenger ;
E. Braf
BRAILEY, Mr William Theodore Ronald ;24 ;2nd Class Passenger
Musician ;
W. Brailey
BRANDEIS, Mr Emil Franklin ;48 ;1st Class Passenger ;
E. Brandeis
BRAUND, Mr Owen Harris ;23 ;3rd Class Passenger ;
O. Braund
BRAUND, Mr Lewis Richard ;29 ;3rd Class Passenger ;
L. Braund
BREWE, Dr Arthur Jackson ;45 ;1st Class Passenger ;
A. Brewe
BREWER, Mr Harry ;30 ;Engineering Crew ;
BREWSTER, Mr George Henry ;52 ;Victualling Crew ;
BRIANT, Mr Arthur ;30 ;Engineering Crew ;
BRIANT, Mr Albert ;34 ;Engineering Crew ;
A. Briant
BRICOUX, Mr Roger Marie ;20 ;2nd Class Passenger
Musician ;
R. Bricoux
BRISTOW, Mr Harry ;38 ;Victualling Crew ;
H. Bristow
BRISTOW, Mr Robert Charles ;38 ;Victualling Crew ;
R. Bristow
BRITO, Mr José Joaquim de ;32 ;2nd Class Passenger ;
BROBäCK, Mr Karl Rudolf ;22 ;3rd Class Passenger ;
BROCKLEBANK, Mr William Alfred ;40 ;3rd Class Passenger ;
BROOKMAN, Mr John Cress ;28 ;Victualling Crew ;
BROOKS, Mr J. ;25 ;Engineering Crew ;
BROOM, Mr Herbert George ;33 ;Victualling Crew ;
BROOME, Mr Athol Frederick ;31 ;Victualling Crew ;
BROWN, Mr Joseph ;30 ;Engineering Crew
Substitute Crew ;
BROWN, Mr John ;28 ;Engineering Crew ;
BROWN, Mr Walter James ;41 ;Victualling Crew ;
BROWN, Mr Thomas William Solomon ;60 ;2nd Class Passenger ;
BRYHL, Mr Kurt Arnold Gottfrid ;25 ;2nd Class Passenger ;
BUCKLEY, Miss Catherine ;22 ;3rd Class Passenger ;
BUCKLEY, Mr H. E. ;34 ;Victualling Crew ;
BULL, Mr Walter Edward ;37 ;Victualling Crew ;
BULLEY, Mr Henry Ashburnham ;22 ;Victualling Crew ;
BūLUS, Mrs Sultānah ;40 ;3rd Class Passenger ;
BūLUS, Master Akar ;7 ;3rd Class Passenger ;
BūLUS, Miss Nūr al-'ayn ;10 ;3rd Class Passenger ;
BUNNELL, Mr Wilfred James ;21 ;Victualling Crew ;
W. Bunnell
BURKE, Mr Jeremiah ;19 ;3rd Class Passenger ;
BURKE, Mr Richard Edward ;29 ;Victualling Crew ;
BURNS, Miss Mary Delia ;17 ;3rd Class Passenger ;
BURR, Mr Ewart Sydenham ;29 ;Victualling Crew ;
BURROUGHS, Mr Arthur Peckham ;35 ;Engineering Crew ;
BURTON, Mr Edward John ;35 ;Engineering Crew ;
BUTLER, Mr Reginald Fenton ;26 ;2nd Class Passenger ;
BUTRUS-KA'Wī, Mr Tannūs ;21 ;3rd Class Passenger ;
BUTT, Major Archibald Willingham ;46 ;1st Class Passenger ;
A. Butt
BUTT, Mr Robert Henry ;22 ;Victualling Crew ;
R. Butt
BUTT, Mr William John ;31 ;Engineering Crew ;
BUTTERWORTH, Mr John ;23 ;Victualling Crew ;
BYLES, Fr Thomas Roussel Davids ;42 ;2nd Class Passenger ;
T. Byles
BYRNE, Mr James Edward ;45 ;Victualling Crew ;
CACIC, Miss Manda ;21 ;3rd Class Passenger ;
CACIC, Miss Marija ;30 ;3rd Class Passenger ;
CACIC, Mr Luka ;38 ;3rd Class Passenger ;
CACIC, Mr Jego Grga ;18 ;3rd Class Passenger ;
CAIRNS, Mr Alexander Milne ;28 ;1st Class Passenger
Servant ;
CALDERWOOD, Mr Hugh ;30 ;Engineering Crew ;
CALIC, Mr Jovo ;17 ;3rd Class Passenger ;
CALIC, Mr Petar ;17 ;3rd Class Passenger ;
CAMPBELL, Mr Donald Samuel ;28 ;Victualling Crew ;
CAMPBELL, Mr William ;21 ;2nd Class Passenger
H&W Guarantee Group ;
CANAVAN, Mr Patrick ;21 ;3rd Class Passenger ;
CANAVAN, Miss Mary ;22 ;3rd Class Passenger ;
CANN, Mr Ernest ;29 ;3rd Class Passenger ;
CANNER, Mr John ;40 ;Engineering Crew ;
CARAM, Mrs Maria Elias ;18 ;3rd Class Passenger ;
CARAM, Mr Joseph ;28 ;3rd Class Passenger ;
CARBINES, Mr William ;19 ;2nd Class Passenger ;
W. Carbines
CARLSSON, Mr August Sigfrid ;28 ;3rd Class Passenger ;
CARLSSON, Mr Carl Robert ;24 ;3rd Class Passenger ;
CARLSSON, Mr Frans Olof ;33 ;1st Class Passenger ;
CARNEY, Mr William ;31 ;Victualling Crew ;
CARR, Mr Richard Stephen ;27 ;Engineering Crew ;
CARR, Miss Jane ;45 ;3rd Class Passenger ;
CARRAU, Mr Francisco Mauro Severiano ;27 ;1st Class Passenger ;
CARRAú-ESTEVES, Mr José Pedro ;17 ;1st Class Passenger ;
CARTER, Fr Ernest Courtenay ;54 ;2nd Class Passenger ;
CARTER, Mr James ;46 ;Engineering Crew ;
CARTER, Mrs Lilian ;45 ;2nd Class Passenger ;
CARTWRIGHT, Mr James Edward ;33 ;Victualling Crew ;
CARVER, Mr Alfred John ;28 ;3rd Class Passenger ;
CASALI, Sig. Giulio ;32 ;Restaurant Staff ;
CASE, Mr Howard Brown ;49 ;1st Class Passenger ;
H. Case
CASEY, Mr Thomas ;44 ;Engineering Crew ;
CASSWILL, Mr Charles ;34 ;Victualling Crew ;
C. Casswill
CASTLEMAN, Mr Edward ;37 ;Engineering Crew ;
CAUNT, Mr William Ewart ;28 ;Victualling Crew ;
CAVE, Mr Herbert ;39 ;Victualling Crew ;
CAVENDISH, Mr Tyrell William ;36 ;1st Class Passenger ;
T. Cavendish
CECIL, Mr Charles Thomas ;21 ;Victualling Crew ;
CELOTTI, Mr Francesco ;24 ;3rd Class Passenger ;
CHABOISSON, Mr Adrien Firmin ;25 ;Restaurant Staff ;
A. Chaboisson
CHAFFEE, Mr Herbert Fuller ;46 ;1st Class Passenger ;
H. Chaffee
CHAPMAN, Mrs Sarah Elizabeth ;30 ;2nd Class Passenger ;
CHAPMAN, Mr John Henry ;37 ;2nd Class Passenger ;
CHAPMAN, Mr Charles Henry ;52 ;2nd Class Passenger ;
C. Chapman
CHARMAN, Mr John James ;25 ;Victualling Crew ;
J. Charman
CHARTERS, Mr David ;20 ;3rd Class Passenger ;
D. Charters
CHERRETT, Mr William Victor ;24 ;Engineering Crew ;
W. Cherrett
CHEVERTON, Mr William Frederick ;27 ;Victualling Crew ;
W. Cheverton
CHISHOLM, Mr Roderick Robert Crispin ;43 ;1st Class Passenger
H&W Guarantee Group ;
R. Chisholm
CHISNALL, Mr George Alexander ;37 ;Engineering Crew ;
G. Chisnall
CHITTY, Mr George Henry ;50 ;Victualling Crew ;
CHITTY, Mr Archibald George ;29 ;Victualling Crew ;
CHORLEY, Mr John Henry ;25 ;Engineering Crew ;
J. Chorley
CHRISTMANN, Mr Emil ;29 ;3rd Class Passenger ;
CHRISTMAS, Mr Herbert Harry ;34 ;Victualling Crew ;
CHRONOPOULOS, Mr Dimitrios M. ;21 ;3rd Class Passenger ;
CHRONOPOULOS, Mr Apostolos M. ;26 ;3rd Class Passenger ;
CLARK, Mr Walter Miller ;27 ;1st Class Passenger ;
CLARKE, Mr John Frederick Preston ;28 ;2nd Class Passenger
Musician ;
J. Clarke
CLARKE, Mr Charles Valentine ;29 ;2nd Class Passenger ;
C. Clarke
CLENCH, Mr George James ;31 ;Deck Crew ;
CLIFFORD, Mr George Quincy ;40 ;1st Class Passenger ;
G. Clifford
COE, Mr Harry ;21 ;Engineering Crew ;
COELHO, Mr Domingos Fernandeo ;20 ;3rd Class Passenger ;
COLBERT, Mr Patrick ;24 ;3rd Class Passenger ;
COLEFF, Mr Satio ;24 ;3rd Class Passenger ;
COLEMAN, Mr Albert Edward ;28 ;Victualling Crew ;
COLEMAN, Mr John ;57 ;Engineering Crew ;
COLERIDGE, Mr Reginald Charles ;29 ;2nd Class Passenger ;
COLLANDER, Mr Erik Gustaf ;27 ;2nd Class Passenger ;
COLLEY, Mr Edward Pomeroy ;37 ;1st Class Passenger ;
COLLYER, Mr Harvey ;31 ;2nd Class Passenger ;
H. Collyer
COLTCHEFF, Mr Peju ;36 ;3rd Class Passenger ;
COMPTON, Mr Alexander Taylor jr ;37 ;1st Class Passenger ;
CONLIN, Mr Thomas Henry ;31 ;3rd Class Passenger ;
CONNAUGHTON, Mr Michael ;40 ;3rd Class Passenger ;
CONNOLLY, Miss Kate ;41 ;3rd Class Passenger ;
CONNORS, Mr Patrick ;66 ;3rd Class Passenger ;
CONWAY, Mr Percy Walter ;25 ;Victualling Crew ;
COOK, Mr Jacob ;43 ;3rd Class Passenger ;
COOK, Mr Gilbert William ;32 ;Victualling Crew ;
COOMBS, Mr Charles Augustus ;45 ;Victualling Crew ;
COOPER, Mr Harry ;26 ;Engineering Crew ;
COOPER, Mr James Edward ;26 ;Engineering Crew ;
COPPERTHWAITE, Mr Albert Harry ;28 ;Engineering Crew ;
A. Copperthwaite
COR, Mr Ivan ;27 ;3rd Class Passenger ;
COR, Mr Bartol ;35 ;3rd Class Passenger ;
COR, Mr Liudevit ;19 ;3rd Class Passenger ;
CORBEN, Mr Ernest Theodore ;27 ;Victualling Crew ;
CORBETT, Mrs Irene ;30 ;2nd Class Passenger ;
I. Corbett
CORCORAN, Mr Dennis ;33 ;Engineering Crew ;
COREY, Mrs Mary Emma ;32 ;2nd Class Passenger ;
CORNAIRE, Mr Marcel Raymond André ;19 ;Restaurant Staff ;
CORNBLATT, Mr Harris ;30 ;3rd Class Passenger ;
COTTERILL, Mr Henry ;21 ;2nd Class Passenger ;
COTTON, Mr Alfred ;36 ;Engineering Crew
Substitute Crew ;
COUCH, Mr Joseph Henry ;49 ;Engineering Crew ;
COUCH, Mr Frank ;27 ;Deck Crew ;
COUTIN, Mr Auguste Louis ;28 ;Restaurant Staff ;
COX, Mr William Denton ;30 ;Victualling Crew ;
COXON, Mr Daniel ;58 ;3rd Class Passenger ;
COY, Mr Francis Ernest George ;27 ;Engineering Crew ;
F. Coy
CRABB, Mr Henry James ;23 ;Engineering Crew ;
CRAFTON, Mr John Bertram ;59 ;1st Class Passenger ;
J. Crafton
CREASE, Mr Ernest James ;20 ;3rd Class Passenger ;
E. Crease
CREESE, Mr Henry Philip ;45 ;Engineering Crew ;
H. Creese
CRIBB, Mr John Hatfield ;43 ;3rd Class Passenger ;
CRISP, Mr Albert Hector ;39 ;Victualling Crew ;
CRISPIN, Mr William ;33 ;Victualling Crew ;
CROSBIE, Mr John Borthwick ;45 ;Victualling Crew ;
CROSBY, Captain Edward Gifford ;70 ;1st Class Passenger ;
E. Crosby
CROSS, Mr William Alfred ;44 ;Engineering Crew ;
CROVELLA, Sig. Paolo Luigi ;16 ;Restaurant Staff ;
P. Crovella
CRUMPLIN, Mr Charles George Chandler ;35 ;Victualling Crew ;
CULUMOVIC, Mr Jeso ;17 ;3rd Class Passenger ;
CUMINGS, Mr John Bradley ;39 ;1st Class Passenger ;
J. Cumings
CUNNINGHAM, Mr Alfred Fleming ;22 ;2nd Class Passenger
H&W Guarantee Group ;
CUNNINGHAM, Mr Bernard ;35 ;Engineering Crew ;
B. Cunningham
CURTIS, Mr Arthur ;26 ;Engineering Crew ;
DāHIR, Mr Ṭannūs ;28 ;3rd Class Passenger ;
DAHLBERG, Miss Gerda Ulrika ;22 ;3rd Class Passenger ;
DAKIC, Mr Branko ;19 ;3rd Class Passenger ;
DANBOM, Master Gilbert Sigvard Emanuel ;4 m ;3rd Class Passenger ;
DANBOM, Mrs Anna Sigrid Maria ;28 ;3rd Class Passenger ;
DANBOM, Mr Ernst Gilbert ;34 ;3rd Class Passenger ;
DANOFF, Mr Yoto ;27 ;3rd Class Passenger ;
DASHWOOD, Mr William George ;18 ;Victualling Crew ;
DAVIDSON, Mr Thornton ;31 ;1st Class Passenger ;
T. Davidson
DAVIES, Mr Thomas ;33 ;Engineering Crew ;
DAVIES, Mr Joseph ;17 ;3rd Class Passenger ;
DAVIES, Mr John ;22 ;3rd Class Passenger ;
DAVIES, Mr Robert J. ;26 ;Victualling Crew ;
DAVIES, Mr Alfred James ;24 ;3rd Class Passenger ;
DAVIES, Mr Evan Lewis ;22 ;3rd Class Passenger ;
DAVIES, Mr Gordon Raleigh ;32 ;Victualling Crew ;
DAVIES, Mr Charles Henry ;19 ;2nd Class Passenger ;
DAVIS, Mr Stephen James ;39 ;Deck Crew ;
DAVIS, Mr John ;27 ;Victualling Crew ;
DAVISON, Mr Thomas Henry ;32 ;3rd Class Passenger ;
DAWSON, Mr Joseph ;23 ;Engineering Crew ;
J. Dawson
DE MARSICO, Sig. Govanni ;20 ;Restaurant Staff ;
DE PELSMAEKER, Mr Alfons ;16 ;3rd Class Passenger ;
DEACON, Mr Percy William ;18 ;2nd Class Passenger ;
DEAN, Mr George Fox Hopkins ;19 ;Victualling Crew ;
DEAN, Mr Bertram Frank ;25 ;3rd Class Passenger ;
DEBREUCQ, Mr Maurice Emile Victor ;18 ;Restaurant Staff ;
M. Debreucq
DEEBLE, Mr Alfred Arnold ;34 ;Victualling Crew ;
DEL CARLO, Mr Sebastiano ;29 ;2nd Class Passenger ;
DELALIC, Mr Redjo ;25 ;3rd Class Passenger ;
DENBUOY, Mr Albert Joseph ;25 ;2nd Class Passenger ;
DENKOFF, Mr Mitto ;30 ;3rd Class Passenger ;
DENNIS, Mr William ;26 ;3rd Class Passenger ;
DENNIS, Mr Samuel ;22 ;3rd Class Passenger ;
DERRETT, Mr Arthur Henry ;29 ;Victualling Crew ;
